lat,long,no__laporan
-6.22361,106.8614,3
-6.14742,106.81876,3
-6.219996,106.848564,3
-6.22368,106.8614,3
-6.22357,106.8615,3
-6.244733,106.79247,3
-6.194588,106.805371,3
-6.22355,106.8615,3
-6.173869,106.784939,3
-6.25159,106.8676,3
-6.22348,106.8615,3
-6.234722,106.840278,3
-6.250127,106.86855,3
-6.231705,106.841225,3
-6.154606,106.853054,3
-6.345522,106.833405,3
-6.25017,106.8681,3
-6.191534,106.813248,3
-6.203929,106.885522,3
-6.24986,106.8682,3
-6.236865,106.8735,3
-6.155951,106.82109,3
-6.341058,106.88299,3
-6.180563,106.828084,3
-6.125519,106.80099,3
-6.141181,106.835519,3
-6.181563,106.828405,3
-6.219507,106.866325,3
-6.265819,106.8933,3
-6.20098,106.78973,3
-6.300711,106.814651,3
-6.307432,106.87783,3
-6.153959,106.82905,3
-6.19932,106.8222,3
-6.25156,106.8676,3
-6.24041,106.883665,3
-6.223608,106.935,3
-6.22347,106.8615,2
-6.218839,106.825325,2
-6.293056,106.802778,2
-6.325161,106.81897,2
-6.21594,106.7976,2
-6.236364,106.781088,2
-6.145565,106.95542,2
-6.207782,106.826872,2
-6.22148,106.8598,2
-6.19506,106.7953,2
-6.176226,106.879199,2
-6.22335,106.8614,2
-6.156196,106.89518,2
-6.273177,106.773471,2
-6.158482,106.77906,2
-6.16257,106.791,2
-6.22338,106.8615,2
-6.25134,106.8678,2
-6.15461,106.8092,2
-6.13929,106.8717,2
-6.333102,106.825394,2
-6.218128,106.8395,2
-6.24056,106.8596,2
-6.208643,106.80913,2
-6.35412,106.888763,2
-6.31518,106.7905,2
-6.25038,106.8677,2
-6.2575,106.851111,2
-6.21763,106.939,2
-6.14492,106.7067,2
-6.121788,106.799965,2
-6.117865,106.730141,2
-6.17558,106.8024,2
-6.168377,106.9036,2
-6.303153,106.814339,2
-6.269885,106.861534,2
-6.182898,106.812805,2
-6.22373,106.8614,2
-6.289732,106.86667,2
-6.33603,106.8303,2
-6.200076,106.897491,2
-6.217122,106.905889,2
-6.24976,106.8682,2
-6.3338,106.8355,2
-6.22845,106.7848,2
-6.336673,106.856412,2
-6.161987,106.852304,2
-6.233142,106.832513,2
-6.15587,106.853422,2
-6.245589,106.8023,2
-6.253144,106.918278,2
-6.243173,106.8112,2
-6.24921,106.8075,2
-6.296111,106.865833,2
-6.173777,106.780518,2
-6.113115,106.78526,2
